,id,Ville,latitude,longitude,date1,temp1,humidity1,rain1,date2,temp2,humidity2,rain2,date3,temp3,humidity3,rain3,date4,temp4,humidity4,rain4,date5,temp5,humidity5,rain5,temp_moy,rain_description
22,7,Lille,50.6365654,3.0635282,2024-05-16 09:00:00,13.79,88,6,2024-05-17 09:00:00,16.42,70,4,2024-05-18 09:00:00,11.72,96,6,2024-05-19 09:00:00,17.3,65,1,2024-05-20 09:00:00,17.27,72,5,15.3,4.4
23,10,Colmar,48.0777517,7.3579641,2024-05-16 09:00:00,14.04,87,6,2024-05-17 09:00:00,12.93,92,6,2024-05-18 09:00:00,18.59,55,1,2024-05-19 09:00:00,18.41,68,4,2024-05-20 09:00:00,19.11,71,6,16.616,4.6
24,11,Eguisheim,48.0447968,7.3079618,2024-05-16 09:00:00,13.69,87,6,2024-05-17 09:00:00,12.42,93,6,2024-05-18 09:00:00,18.26,54,1,2024-05-19 09:00:00,18.28,66,4,2024-05-20 09:00:00,18.83,70,6,16.296,4.6
25,0,Mont Saint Michel,48.6359541,-1.511459954959514,2024-05-16 09:00:00,12.19,89,2,2024-05-17 09:00:00,14.85,83,5,2024-05-18 09:00:00,16.36,77,6,2024-05-19 09:00:00,16.22,75,5,2024-05-20 09:00:00,15.28,83,5,14.979999999999999,4.6
26,31,Montauban,44.0175835,1.3549991,2024-05-16 09:00:00,12.33,84,5,2024-05-17 09:00:00,15.91,73,3,2024-05-18 09:00:00,13.49,92,6,2024-05-19 09:00:00,14.28,86,5,2024-05-20 09:00:00,14.52,87,5,14.106,4.8
27,4,Rouen,49.4404591,1.0939658,2024-05-16 09:00:00,13.49,87,4,2024-05-17 09:00:00,14.81,78,5,2024-05-18 09:00:00,17.1,76,6,2024-05-19 09:00:00,16.84,77,6,2024-05-20 09:00:00,16.1,84,4,15.668000000000001,5.0
28,34,La Rochelle,46.1591126,-1.1520434,2024-05-16 09:00:00,13.18,86,6,2024-05-17 09:00:00,12.85,89,6,2024-05-18 09:00:00,14.8,79,5,2024-05-19 09:00:00,15.6,76,4,2024-05-20 09:00:00,15.4,79,4,14.366,5.0
29,29,Ariege,42.8458016,1.6067586,2024-05-16 09:00:00,11.19,78,6,2024-05-17 09:00:00,17.18,53,1,2024-05-18 09:00:00,13.72,90,6,2024-05-19 09:00:00,16.65,75,6,2024-05-20 09:00:00,12.63,99,6,14.273999999999997,5.0
30,9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,2024-05-16 09:00:00,10.87,89,6,2024-05-17 09:00:00,10.34,91,6,2024-05-18 09:00:00,16.83,52,1,2024-05-19 09:00:00,15.68,70,6,2024-05-20 09:00:00,17.11,69,6,14.166,5.0
31,6,Amiens,49.8941708,2.2956951,2024-05-16 09:00:00,13.53,91,6,2024-05-17 09:00:00,15.48,74,5,2024-05-18 09:00:00,16.13,78,5,2024-05-19 09:00:00,15.34,82,5,2024-05-20 09:00:00,15.47,88,5,15.190000000000001,5.2
32,13,Dijon,47.3215806,5.0414701,2024-05-16 09:00:00,11.33,95,5,2024-05-17 09:00:00,14.88,76,6,2024-05-18 09:00:00,15.96,78,5,2024-05-19 09:00:00,16.72,74,6,2024-05-20 09:00:00,15.74,81,5,14.925999999999998,5.4
33,32,Biarritz,43.4832523,-1.5592776,2024-05-16 09:00:00,13.14,80,6,2024-05-17 09:00:00,13.18,90,6,2024-05-18 09:00:00,13.32,92,6,2024-05-19 09:00:00,14.39,84,6,2024-05-20 09:00:00,14.6,87,6,13.725999999999999,6.0
34,33,Bayonne,43.4945144,-1.4736657,2024-05-16 09:00:00,13.43,80,6,2024-05-17 09:00:00,12.9,93,6,2024-05-18 09:00:00,13.21,93,6,2024-05-19 09:00:00,14.48,85,6,2024-05-20 09:00:00,14.5,89,6,13.703999999999999,6.0
